domain_from,domain_to,relevance
iot,biology,0.3
iot,finance,0.3
iot,manufacturing,0.3
healthcare,iot,0.3
healthcare,social science,0.3
healthcare,climate and environment,0.3
healthcare,autonomous_vehicles,0.3
healthcare,physics and chemistry,0.3
healthcare,other,0.3
healthcare,business,0.3
healthcare,recommendation_systems,0.3
healthcare,computer science,0.3
healthcare,cybersecurity,0.3
healthcare,games,0.3
healthcare,engineering,0.3
healthcare,finance,0.3
healthcare,manufacturing,0.3
social science,iot,0.3
social science,healthcare,0.3
social science,health and medicine,0.3
social science,climate and environment,0.3
social science,autonomous_vehicles,0.3
social science,physics and chemistry,0.3
social science,other,0.3
social science,computer science,0.3
social science,cybersecurity,0.3
social science,games,0.3
social science,engineering,0.3
social science,biology,0.3
social science,finance,0.3
social science,manufacturing,0.3
health and medicine,iot,0.3
health and medicine,social science,0.3
health and medicine,climate and environment,0.3
health and medicine,autonomous_vehicles,0.3
health and medicine,physics and chemistry,0.3
health and medicine,other,0.3
health and medicine,business,0.3
health and medicine,recommendation_systems,0.3
health and medicine,computer science,0.3
health and medicine,cybersecurity,0.3
health and medicine,games,0.3
health and medicine,engineering,0.3
health and medicine,finance,0.3
health and medicine,manufacturing,0.3
climate and environment,healthcare,0.3
climate and environment,social science,0.3
climate and environment,health and medicine,0.3
climate and environment,autonomous_vehicles,0.3
climate and environment,physics and chemistry,0.3
climate and environment,other,0.3
climate and environment,business,0.3
climate and environment,recommendation_systems,0.3
climate and environment,cybersecurity,0.3
climate and environment,games,0.3
climate and environment,engineering,0.3
climate and environment,biology,0.3
climate and environment,finance,0.3
climate and environment,manufacturing,0.3
autonomous_vehicles,iot,0.3
autonomous_vehicles,healthcare,0.3
autonomous_vehicles,social science,0.3
autonomous_vehicles,health and medicine,0.3
autonomous_vehicles,climate and environment,0.3
autonomous_vehicles,other,0.3
autonomous_vehicles,business,0.3
autonomous_vehicles,recommendation_systems,0.3
autonomous_vehicles,cybersecurity,0.3
autonomous_vehicles,games,0.3
autonomous_vehicles,engineering,0.3
autonomous_vehicles,biology,0.3
autonomous_vehicles,finance,0.3
autonomous_vehicles,manufacturing,0.3
physics and chemistry,iot,0.3
physics and chemistry,healthcare,0.3
physics and chemistry,social science,0.3
physics and chemistry,health and medicine,0.3
physics and chemistry,climate and environment,0.3
physics and chemistry,other,0.3
physics and chemistry,business,0.3
physics and chemistry,recommendation_systems,0.3
physics and chemistry,cybersecurity,0.3
physics and chemistry,games,0.3
physics and chemistry,engineering,0.3
physics and chemistry,biology,0.3
physics and chemistry,finance,0.3
other,iot,0.3
other,healthcare,0.3
other,social science,0.3
other,health and medicine,0.3
other,climate and environment,0.3
other,autonomous_vehicles,0.3
other,physics and chemistry,0.3
other,business,0.3
other,recommendation_systems,0.3
other,computer science,0.3
other,cybersecurity,0.3
other,games,0.3
other,engineering,0.3
other,biology,0.3
other,finance,0.3
other,manufacturing,0.3
business,iot,0.3
business,healthcare,0.3
business,health and medicine,0.3
business,climate and environment,0.3
business,autonomous_vehicles,0.3
business,physics and chemistry,0.3
business,other,0.3
business,computer science,0.3
business,cybersecurity,0.3
business,games,0.3
business,engineering,0.3
business,biology,0.3
business,manufacturing,0.3
recommendation_systems,iot,0.3
recommendation_systems,healthcare,0.3
recommendation_systems,health and medicine,0.3
recommendation_systems,climate and environment,0.3
recommendation_systems,autonomous_vehicles,0.3
recommendation_systems,physics and chemistry,0.3
recommendation_systems,other,0.3
recommendation_systems,computer science,0.3
recommendation_systems,cybersecurity,0.3
recommendation_systems,games,0.3
recommendation_systems,engineering,0.3
recommendation_systems,biology,0.3
recommendation_systems,finance,0.3
recommendation_systems,manufacturing,0.3
computer science,healthcare,0.3
computer science,social science,0.3
computer science,health and medicine,0.3
computer science,other,0.3
computer science,business,0.3
computer science,recommendation_systems,0.3
computer science,games,0.3
computer science,engineering,0.3
computer science,biology,0.3
computer science,finance,0.3
computer science,manufacturing,0.3
cybersecurity,iot,0.3
cybersecurity,healthcare,0.3
cybersecurity,social science,0.3
cybersecurity,health and medicine,0.3
cybersecurity,climate and environment,0.3
cybersecurity,autonomous_vehicles,0.3
cybersecurity,physics and chemistry,0.3
cybersecurity,other,0.3
cybersecurity,business,0.3
cybersecurity,recommendation_systems,0.3
cybersecurity,games,0.3
cybersecurity,engineering,0.3
cybersecurity,biology,0.3
cybersecurity,finance,0.3
cybersecurity,manufacturing,0.3
games,iot,0.3
games,healthcare,0.3
games,social science,0.3
games,health and medicine,0.3
games,climate and environment,0.3
games,autonomous_vehicles,0.3
games,physics and chemistry,0.3
games,other,0.3
games,business,0.3
games,recommendation_systems,0.3
games,computer science,0.3
games,cybersecurity,0.3
games,engineering,0.3
games,biology,0.3
games,finance,0.3
games,manufacturing,0.3
engineering,iot,0.3
engineering,healthcare,0.3
engineering,social science,0.3
engineering,health and medicine,0.3
engineering,climate and environment,0.3
engineering,autonomous_vehicles,0.3
engineering,physics and chemistry,0.3
engineering,other,0.3
engineering,business,0.3
engineering,recommendation_systems,0.3
engineering,computer science,0.3
engineering,cybersecurity,0.3
engineering,games,0.3
engineering,biology,0.3
engineering,finance,0.3
engineering,manufacturing,0.3
biology,iot,0.3
biology,social science,0.3
biology,climate and environment,0.3
biology,autonomous_vehicles,0.3
biology,physics and chemistry,0.3
biology,other,0.3
biology,business,0.3
biology,recommendation_systems,0.3
biology,computer science,0.3
biology,cybersecurity,0.3
biology,games,0.3
biology,engineering,0.3
biology,finance,0.3
biology,manufacturing,0.3
finance,iot,0.3
finance,healthcare,0.3
finance,social science,0.3
finance,health and medicine,0.3
finance,climate and environment,0.3
finance,autonomous_vehicles,0.3
finance,physics and chemistry,0.3
finance,other,0.3
finance,recommendation_systems,0.3
finance,computer science,0.3
finance,cybersecurity,0.3
finance,games,0.3
finance,engineering,0.3
finance,biology,0.3
finance,manufacturing,0.3
manufacturing,iot,0.3
manufacturing,healthcare,0.3
manufacturing,social science,0.3
manufacturing,health and medicine,0.3
manufacturing,climate and environment,0.3
manufacturing,autonomous_vehicles,0.3
manufacturing,other,0.3
manufacturing,business,0.3
manufacturing,recommendation_systems,0.3
manufacturing,computer science,0.3
manufacturing,cybersecurity,0.3
manufacturing,games,0.3
manufacturing,engineering,0.3
manufacturing,biology,0.3
manufacturing,finance,0.3
