dataset_id_a,dataset_id_b,relevance
img_036,img_048,0.3804
img_037,img_039,0.4713
img_038,img_039,0.3772
img_040,img_041,0.4429
img_042,img_043,0.4997
img_042,img_046,0.3223
img_046,img_047,0.3957
text_001,text_006,0.7766
text_001,text_010,0.4647
text_002,text_008,0.5123
text_005,text_006,0.3125
text_005,text_010,0.3309
text_006,text_010,0.4203
text_007,text_015,0.4233
text_012,text_016,0.5707
text_014,text_015,0.5707
ts_001,ts_002,0.9106
ts_001,ts_009,0.4491
ts_002,ts_009,0.4931
