Dataset ID,XAI Method,Fidelity,Simplicity,Stability,Localization,source
img_003,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_004,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_004,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_004,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_004,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_004,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_004,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_004,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_004,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_004,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_004,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_004,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_004,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_005,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_005,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_005,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_005,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_005,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_005,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_005,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_005,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_005,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_005,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_005,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_005,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_006,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_006,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_006,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_006,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_006,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_006,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_006,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_006,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_006,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_006,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_006,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_006,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_007,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_007,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_007,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_007,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_007,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_007,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_007,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_007,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_007,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_007,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_007,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_007,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_008,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_008,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_008,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_008,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_008,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_008,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_008,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_008,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_008,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_008,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_008,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_008,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_009,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_009,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_009,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_009,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_009,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_009,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_009,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_009,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_009,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_009,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_009,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_009,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_010,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_010,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_010,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_010,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_010,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_010,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_010,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_010,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_010,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_010,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_010,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_010,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_011,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_011,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_011,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_011,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_011,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_011,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_011,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_011,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_011,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_011,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_011,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_011,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_012,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_012,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_012,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_012,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_012,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_012,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_012,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_012,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_012,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_012,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_012,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_012,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_013,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_013,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_013,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_013,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_013,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_013,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_013,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_013,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_013,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_013,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_013,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_013,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_014,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_014,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_014,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_014,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_014,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_014,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_014,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_014,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_014,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_014,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_014,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_014,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_015,GradCAM,0.8094,84.52,0.8399,0.7405,Estimated
img_015,GradCAM_pp,0.8894,61.31,0.8761,0.8313,Estimated
img_015,Integrated_Gradients,0.9096,65.9,0.8356,0.631,Estimated
img_015,SmoothGrad,0.7465,66.33,0.7084,0.5199,Estimated
img_015,LIME_Image,0.7445,83.03,0.6213,0.5622,Estimated
img_015,SHAP_Image,0.886,65.31,0.8599,0.7631,Estimated
img_015,Saliency_Maps,0.6875,73.5,0.5961,0.4655,Estimated
img_015,Guided_Backprop,0.6622,70.31,0.524,0.4865,Estimated
img_015,Guided_GradCAM,0.723,69.0,0.7271,0.8165,Estimated
img_015,ScoreCAM,0.7467,70.84,0.7647,0.6263,Estimated
img_015,LayerCAM,0.8372,62.3,0.8052,0.745,Estimated
img_015,Attention_Maps,0.8199,81.58,0.7108,0.6672,Estimated
img_016,GradCAM,0.8205,76.78,0.8332,0.7846,Estimated
img_016,GradCAM_pp,0.7891,79.38,0.8572,0.8788,Estimated
img_016,Integrated_Gradients,0.9117,75.79,0.8144,0.7706,Estimated
img_016,SmoothGrad,0.8303,66.49,0.6789,0.6765,Estimated
img_016,LIME_Image,0.6766,91.2,0.6227,0.5257,Estimated
img_016,SHAP_Image,0.919,68.66,0.8869,0.7751,Estimated
img_016,Saliency_Maps,0.741,74.39,0.5836,0.5402,Estimated
img_016,Guided_Backprop,0.6514,71.21,0.6548,0.5913,Estimated
img_016,Guided_GradCAM,0.7404,73.41,0.6945,0.7704,Estimated
img_016,ScoreCAM,0.8018,78.96,0.726,0.619,Estimated
img_016,LayerCAM,0.8276,79.73,0.6888,0.7433,Estimated
img_016,Attention_Maps,0.7211,75.42,0.747,0.7744,Estimated
img_017,GradCAM,0.8205,76.78,0.8332,0.7846,Estimated
img_017,GradCAM_pp,0.7891,79.38,0.8572,0.8788,Estimated
img_017,Integrated_Gradients,0.9117,75.79,0.8144,0.7706,Estimated
img_017,SmoothGrad,0.8303,66.49,0.6789,0.6765,Estimated
img_017,LIME_Image,0.6766,91.2,0.6227,0.5257,Estimated
img_017,SHAP_Image,0.919,68.66,0.8869,0.7751,Estimated
img_017,Saliency_Maps,0.741,74.39,0.5836,0.5402,Estimated
img_017,Guided_Backprop,0.6514,71.21,0.6548,0.5913,Estimated
img_017,Guided_GradCAM,0.7404,73.41,0.6945,0.7704,Estimated
img_017,ScoreCAM,0.8018,78.96,0.726,0.619,Estimated
img_017,LayerCAM,0.8276,79.73,0.6888,0.7433,Estimated
img_017,Attention_Maps,0.7211,75.42,0.747,0.7744,Estimated
img_018,GradCAM,0.8205,76.78,0.8332,0.7846,Estimated
img_018,GradCAM_pp,0.7891,79.38,0.8572,0.8788,Estimated
img_018,Integrated_Gradients,0.9117,75.79,0.8144,0.7706,Estimated
img_018,SmoothGrad,0.8303,66.49,0.6789,0.6765,Estimated
img_018,LIME_Image,0.6766,91.2,0.6227,0.5257,Estimated
img_018,SHAP_Image,0.919,68.66,0.8869,0.7751,Estimated
img_018,Saliency_Maps,0.741,74.39,0.5836,0.5402,Estimated
img_018,Guided_Backprop,0.6514,71.21,0.6548,0.5913,Estimated
img_018,Guided_GradCAM,0.7404,73.41,0.6945,0.7704,Estimated
img_018,ScoreCAM,0.8018,78.96,0.726,0.619,Estimated
img_018,LayerCAM,0.8276,79.73,0.6888,0.7433,Estimated
img_018,Attention_Maps,0.7211,75.42,0.747,0.7744,Estimated
img_019,GradCAM,0.8205,76.78,0.8332,0.7846,Estimated
img_019,GradCAM_pp,0.7891,79.38,0.8572,0.8788,Estimated
img_019,Integrated_Gradients,0.9117,75.79,0.8144,0.7706,Estimated
img_019,SmoothGrad,0.8303,66.49,0.6789,0.6765,Estimated
img_019,LIME_Image,0.6766,91.2,0.6227,0.5257,Estimated
img_019,SHAP_Image,0.919,68.66,0.8869,0.7751,Estimated
img_019,Saliency_Maps,0.741,74.39,0.5836,0.5402,Estimated
img_019,Guided_Backprop,0.6514,71.21,0.6548,0.5913,Estimated
img_019,Guided_GradCAM,0.7404,73.41,0.6945,0.7704,Estimated
img_019,ScoreCAM,0.8018,78.96,0.726,0.619,Estimated
img_019,LayerCAM,0.8276,79.73,0.6888,0.7433,Estimated
img_019,Attention_Maps,0.7211,75.42,0.747,0.7744,Estimated
img_020,GradCAM,0.8205,76.78,0.8332,0.7846,Estimated
img_020,GradCAM_pp,0.7891,79.38,0.8572,0.8788,Estimated
img_020,Integrated_Gradients,0.9117,75.79,0.8144,0.7706,Estimated
img_020,SmoothGrad,0.8303,66.49,0.6789,0.6765,Estimated
img_020,LIME_Image,0.6766,91.2,0.6227,0.5257,Estimated
img_020,SHAP_Image,0.919,68.66,0.8869,0.7751,Estimated
img_020,Saliency_Maps,0.741,74.39,0.5836,0.5402,Estimated
img_020,Guided_Backprop,0.6514,71.21,0.6548,0.5913,Estimated
img_020,Guided_GradCAM,0.7404,73.41,0.6945,0.7704,Estimated
img_020,ScoreCAM,0.8018,78.96,0.726,0.619,Estimated
img_020,LayerCAM,0.8276,79.73,0.6888,0.7433,Estimated
img_020,Attention_Maps,0.7211,75.42,0.747,0.7744,Estimated
img_021,GradCAM,0.7764,82.53,0.8101,0.8871,Estimated
img_021,GradCAM_pp,0.7821,62.21,0.8413,0.837,Estimated
img_021,Integrated_Gradients,0.8829,73.36,0.7539,0.661,Estimated
img_021,SmoothGrad,0.7414,63.75,0.6799,0.5223,Estimated
img_021,LIME_Image,0.7963,81.51,0.661,0.6679,Estimated
img_021,SHAP_Image,0.7816,61.45,0.8931,0.8158,Estimated
img_021,Saliency_Maps,0.6759,77.99,0.6503,0.4545,Estimated
img_021,Guided_Backprop,0.6166,75.51,0.5096,0.4032,Estimated
img_021,Guided_GradCAM,0.7221,75.0,0.7011,0.718,Estimated
img_021,ScoreCAM,0.7523,73.94,0.7151,0.6139,Estimated
img_021,LayerCAM,0.7283,67.64,0.7672,0.6572,Estimated
img_021,Attention_Maps,0.7433,87.63,0.7899,0.7602,Estimated
img_022,GradCAM,0.7764,82.53,0.8101,0.8871,Estimated
img_022,GradCAM_pp,0.7821,62.21,0.8413,0.837,Estimated
img_022,Integrated_Gradients,0.8829,73.36,0.7539,0.661,Estimated
img_022,SmoothGrad,0.7414,63.75,0.6799,0.5223,Estimated
img_022,LIME_Image,0.7963,81.51,0.661,0.6679,Estimated
img_022,SHAP_Image,0.7816,61.45,0.8931,0.8158,Estimated
img_022,Saliency_Maps,0.6759,77.99,0.6503,0.4545,Estimated
img_022,Guided_Backprop,0.6166,75.51,0.5096,0.4032,Estimated
img_022,Guided_GradCAM,0.7221,75.0,0.7011,0.718,Estimated
img_022,ScoreCAM,0.7523,73.94,0.7151,0.6139,Estimated
img_022,LayerCAM,0.7283,67.64,0.7672,0.6572,Estimated
img_022,Attention_Maps,0.7433,87.63,0.7899,0.7602,Estimated
img_023,GradCAM,0.7764,82.53,0.8101,0.8871,Estimated
img_023,GradCAM_pp,0.7821,62.21,0.8413,0.837,Estimated
img_023,Integrated_Gradients,0.8829,73.36,0.7539,0.661,Estimated
img_023,SmoothGrad,0.7414,63.75,0.6799,0.5223,Estimated
img_023,LIME_Image,0.7963,81.51,0.661,0.6679,Estimated
img_023,SHAP_Image,0.7816,61.45,0.8931,0.8158,Estimated
img_023,Saliency_Maps,0.6759,77.99,0.6503,0.4545,Estimated
img_023,Guided_Backprop,0.6166,75.51,0.5096,0.4032,Estimated
img_023,Guided_GradCAM,0.7221,75.0,0.7011,0.718,Estimated
img_023,ScoreCAM,0.7523,73.94,0.7151,0.6139,Estimated
img_023,LayerCAM,0.7283,67.64,0.7672,0.6572,Estimated
img_023,Attention_Maps,0.7433,87.63,0.7899,0.7602,Estimated
img_024,GradCAM,0.7764,82.53,0.8101,0.8871,Estimated
img_024,GradCAM_pp,0.7821,62.21,0.8413,0.837,Estimated
img_024,Integrated_Gradients,0.8829,73.36,0.7539,0.661,Estimated
img_024,SmoothGrad,0.7414,63.75,0.6799,0.5223,Estimated
img_024,LIME_Image,0.7963,81.51,0.661,0.6679,Estimated
img_024,SHAP_Image,0.7816,61.45,0.8931,0.8158,Estimated
img_024,Saliency_Maps,0.6759,77.99,0.6503,0.4545,Estimated
img_024,Guided_Backprop,0.6166,75.51,0.5096,0.4032,Estimated
img_024,Guided_GradCAM,0.7221,75.0,0.7011,0.718,Estimated
img_024,ScoreCAM,0.7523,73.94,0.7151,0.6139,Estimated
img_024,LayerCAM,0.7283,67.64,0.7672,0.6572,Estimated
img_024,Attention_Maps,0.7433,87.63,0.7899,0.7602,Estimated
img_025,GradCAM,0.7764,82.53,0.8101,0.8871,Estimated
img_025,GradCAM_pp,0.7821,62.21,0.8413,0.837,Estimated
img_025,Integrated_Gradients,0.8829,73.36,0.7539,0.661,Estimated
img_025,SmoothGrad,0.7414,63.75,0.6799,0.5223,Estimated
img_025,LIME_Image,0.7963,81.51,0.661,0.6679,Estimated
img_025,SHAP_Image,0.7816,61.45,0.8931,0.8158,Estimated
img_025,Saliency_Maps,0.6759,77.99,0.6503,0.4545,Estimated
img_025,Guided_Backprop,0.6166,75.51,0.5096,0.4032,Estimated
img_025,Guided_GradCAM,0.7221,75.0,0.7011,0.718,Estimated
img_025,ScoreCAM,0.7523,73.94,0.7151,0.6139,Estimated
img_025,LayerCAM,0.7283,67.64,0.7672,0.6572,Estimated
img_025,Attention_Maps,0.7433,87.63,0.7899,0.7602,Estimated
img_026,GradCAM,0.773,74.68,0.7807,0.89,Estimated
img_026,GradCAM_pp,0.8155,70.16,0.8273,0.8901,Estimated
img_026,Integrated_Gradients,0.8075,63.0,0.8063,0.7409,Estimated
img_026,SmoothGrad,0.8008,68.21,0.7905,0.5435,Estimated
img_026,LIME_Image,0.6726,75.94,0.6324,0.5613,Estimated
img_026,SHAP_Image,0.8727,65.43,0.8161,0.7755,Estimated
img_026,Saliency_Maps,0.7031,73.37,0.6668,0.5731,Estimated
img_026,Guided_Backprop,0.6291,65.14,0.5291,0.5733,Estimated
img_026,Guided_GradCAM,0.7891,71.1,0.741,0.7319,Estimated
img_026,ScoreCAM,0.8036,77.1,0.7806,0.6283,Estimated
img_026,LayerCAM,0.8222,69.2,0.7531,0.7326,Estimated
img_026,Attention_Maps,0.7091,77.67,0.7863,0.7452,Estimated
img_027,GradCAM,0.773,74.68,0.7807,0.89,Estimated
img_027,GradCAM_pp,0.8155,70.16,0.8273,0.8901,Estimated
img_027,Integrated_Gradients,0.8075,63.0,0.8063,0.7409,Estimated
img_027,SmoothGrad,0.8008,68.21,0.7905,0.5435,Estimated
img_027,LIME_Image,0.6726,75.94,0.6324,0.5613,Estimated
img_027,SHAP_Image,0.8727,65.43,0.8161,0.7755,Estimated
img_027,Saliency_Maps,0.7031,73.37,0.6668,0.5731,Estimated
img_027,Guided_Backprop,0.6291,65.14,0.5291,0.5733,Estimated
img_027,Guided_GradCAM,0.7891,71.1,0.741,0.7319,Estimated
img_027,ScoreCAM,0.8036,77.1,0.7806,0.6283,Estimated
img_027,LayerCAM,0.8222,69.2,0.7531,0.7326,Estimated
img_027,Attention_Maps,0.7091,77.67,0.7863,0.7452,Estimated
img_028,GradCAM,0.773,74.68,0.7807,0.89,Estimated
img_028,GradCAM_pp,0.8155,70.16,0.8273,0.8901,Estimated
img_028,Integrated_Gradients,0.8075,63.0,0.8063,0.7409,Estimated
img_028,SmoothGrad,0.8008,68.21,0.7905,0.5435,Estimated
img_028,LIME_Image,0.6726,75.94,0.6324,0.5613,Estimated
img_028,SHAP_Image,0.8727,65.43,0.8161,0.7755,Estimated
img_028,Saliency_Maps,0.7031,73.37,0.6668,0.5731,Estimated
img_028,Guided_Backprop,0.6291,65.14,0.5291,0.5733,Estimated
img_028,Guided_GradCAM,0.7891,71.1,0.741,0.7319,Estimated
img_028,ScoreCAM,0.8036,77.1,0.7806,0.6283,Estimated
img_028,LayerCAM,0.8222,69.2,0.7531,0.7326,Estimated
img_028,Attention_Maps,0.7091,77.67,0.7863,0.7452,Estimated
img_029,GradCAM,0.773,74.68,0.7807,0.89,Estimated
img_029,GradCAM_pp,0.8155,70.16,0.8273,0.8901,Estimated
img_029,Integrated_Gradients,0.8075,63.0,0.8063,0.7409,Estimated
img_029,SmoothGrad,0.8008,68.21,0.7905,0.5435,Estimated
img_029,LIME_Image,0.6726,75.94,0.6324,0.5613,Estimated
img_029,SHAP_Image,0.8727,65.43,0.8161,0.7755,Estimated
img_029,Saliency_Maps,0.7031,73.37,0.6668,0.5731,Estimated
img_029,Guided_Backprop,0.6291,65.14,0.5291,0.5733,Estimated
img_029,Guided_GradCAM,0.7891,71.1,0.741,0.7319,Estimated
img_029,ScoreCAM,0.8036,77.1,0.7806,0.6283,Estimated
img_029,LayerCAM,0.8222,69.2,0.7531,0.7326,Estimated
img_029,Attention_Maps,0.7091,77.67,0.7863,0.7452,Estimated
img_030,GradCAM,0.773,74.68,0.7807,0.89,Estimated
img_030,GradCAM_pp,0.8155,70.16,0.8273,0.8901,Estimated
img_030,Integrated_Gradients,0.8075,63.0,0.8063,0.7409,Estimated
img_030,SmoothGrad,0.8008,68.21,0.7905,0.5435,Estimated
img_030,LIME_Image,0.6726,75.94,0.6324,0.5613,Estimated
img_030,SHAP_Image,0.8727,65.43,0.8161,0.7755,Estimated
img_030,Saliency_Maps,0.7031,73.37,0.6668,0.5731,Estimated
img_030,Guided_Backprop,0.6291,65.14,0.5291,0.5733,Estimated
img_030,Guided_GradCAM,0.7891,71.1,0.741,0.7319,Estimated
img_030,ScoreCAM,0.8036,77.1,0.7806,0.6283,Estimated
img_030,LayerCAM,0.8222,69.2,0.7531,0.7326,Estimated
img_030,Attention_Maps,0.7091,77.67,0.7863,0.7452,Estimated
img_031,GradCAM,0.828,84.95,0.7872,0.8535,Estimated
img_031,GradCAM_pp,0.7921,74.36,0.7404,0.7286,Estimated
img_031,Integrated_Gradients,0.911,77.1,0.8656,0.6785,Estimated
img_031,SmoothGrad,0.7748,61.25,0.8006,0.6234,Estimated
img_031,LIME_Image,0.7562,91.4,0.5299,0.6665,Estimated
img_031,SHAP_Image,0.8411,70.47,0.8054,0.6872,Estimated
img_031,Saliency_Maps,0.7013,82.01,0.6406,0.5024,Estimated
img_031,Guided_Backprop,0.5563,68.42,0.52,0.5539,Estimated
img_031,Guided_GradCAM,0.8048,76.75,0.8199,0.8498,Estimated
img_031,ScoreCAM,0.7998,78.94,0.7332,0.7326,Estimated
img_031,LayerCAM,0.8155,66.59,0.7918,0.7028,Estimated
img_031,Attention_Maps,0.7612,77.31,0.6905,0.7064,Estimated
img_032,GradCAM,0.828,84.95,0.7872,0.8535,Estimated
img_032,GradCAM_pp,0.7921,74.36,0.7404,0.7286,Estimated
img_032,Integrated_Gradients,0.911,77.1,0.8656,0.6785,Estimated
img_032,SmoothGrad,0.7748,61.25,0.8006,0.6234,Estimated
img_032,LIME_Image,0.7562,91.4,0.5299,0.6665,Estimated
img_032,SHAP_Image,0.8411,70.47,0.8054,0.6872,Estimated
img_032,Saliency_Maps,0.7013,82.01,0.6406,0.5024,Estimated
img_032,Guided_Backprop,0.5563,68.42,0.52,0.5539,Estimated
img_032,Guided_GradCAM,0.8048,76.75,0.8199,0.8498,Estimated
img_032,ScoreCAM,0.7998,78.94,0.7332,0.7326,Estimated
img_032,LayerCAM,0.8155,66.59,0.7918,0.7028,Estimated
img_032,Attention_Maps,0.7612,77.31,0.6905,0.7064,Estimated
img_033,GradCAM,0.828,84.95,0.7872,0.8535,Estimated
img_033,GradCAM_pp,0.7921,74.36,0.7404,0.7286,Estimated
img_033,Integrated_Gradients,0.911,77.1,0.8656,0.6785,Estimated
img_033,SmoothGrad,0.7748,61.25,0.8006,0.6234,Estimated
