Dataset ID,XAI Method,Fidelity,Simplicity,Stability,Localization,source
text_004,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_004,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_004,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_004,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_004,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_004,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_004,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_005,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_005,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_005,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_005,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_005,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_005,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_005,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_005,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_005,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_005,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_006,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_006,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_006,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_006,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_006,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_006,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_006,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_006,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_006,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_006,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_007,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_007,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_007,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_007,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_007,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_007,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_007,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_007,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_007,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_007,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_008,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_008,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_008,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_008,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_008,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_008,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_008,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_008,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_008,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_008,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_009,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_009,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_009,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_009,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_009,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_009,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_009,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_009,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_009,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_009,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_010,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_010,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_010,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_010,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_010,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_010,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_010,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_010,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_010,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_010,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_011,LIME_Text,0.7833,86.81,0.6934,0.6179,Estimated
text_011,SHAP_Text,0.7856,80.73,0.7709,0.6435,Estimated
text_011,Integrated_Gradients_Text,0.9182,66.8,0.9247,0.7034,Estimated
text_011,Attention_Weights,0.7982,90.1,0.7285,0.5555,Estimated
text_011,Gradient_Text,0.6902,71.21,0.6505,0.5775,Estimated
text_011,InputXGradient_Text,0.6831,73.04,0.6814,0.5638,Estimated
text_011,DeepLIFT_Text,0.7566,73.89,0.8308,0.6577,Estimated
text_011,Occlusion_Text,0.7037,83.26,0.7111,0.5238,Estimated
text_011,Shapley_Sampling_Text,0.8358,76.44,0.7562,0.7117,Estimated
text_011,Rationale_Extraction,0.7349,89.99,0.7789,0.6638,Estimated
text_012,LIME_Text,0.7833,86.81,0.6934,0.6179,Estimated
text_012,SHAP_Text,0.7856,80.73,0.7709,0.6435,Estimated
text_012,Integrated_Gradients_Text,0.9182,66.8,0.9247,0.7034,Estimated
text_012,Attention_Weights,0.7982,90.1,0.7285,0.5555,Estimated
text_012,Gradient_Text,0.6902,71.21,0.6505,0.5775,Estimated
text_012,InputXGradient_Text,0.6831,73.04,0.6814,0.5638,Estimated
text_012,DeepLIFT_Text,0.7566,73.89,0.8308,0.6577,Estimated
text_012,Occlusion_Text,0.7037,83.26,0.7111,0.5238,Estimated
text_012,Shapley_Sampling_Text,0.8358,76.44,0.7562,0.7117,Estimated
text_012,Rationale_Extraction,0.7349,89.99,0.7789,0.6638,Estimated
text_013,LIME_Text,0.7833,86.81,0.6934,0.6179,Estimated
text_013,SHAP_Text,0.7856,80.73,0.7709,0.6435,Estimated
text_013,Integrated_Gradients_Text,0.9182,66.8,0.9247,0.7034,Estimated
text_013,Attention_Weights,0.7982,90.1,0.7285,0.5555,Estimated
text_013,Gradient_Text,0.6902,71.21,0.6505,0.5775,Estimated
text_013,InputXGradient_Text,0.6831,73.04,0.6814,0.5638,Estimated
text_013,DeepLIFT_Text,0.7566,73.89,0.8308,0.6577,Estimated
text_013,Occlusion_Text,0.7037,83.26,0.7111,0.5238,Estimated
text_013,Shapley_Sampling_Text,0.8358,76.44,0.7562,0.7117,Estimated
text_013,Rationale_Extraction,0.7349,89.99,0.7789,0.6638,Estimated
text_014,LIME_Text,0.7849,92.06,0.7132,0.5209,Estimated
text_014,SHAP_Text,0.7902,75.37,0.7874,0.7615,Estimated
text_014,Integrated_Gradients_Text,0.8441,74.0,0.857,0.6541,Estimated
text_014,Attention_Weights,0.7644,93.06,0.6711,0.7098,Estimated
text_014,Gradient_Text,0.6076,76.27,0.6886,0.4643,Estimated
text_014,InputXGradient_Text,0.7439,77.33,0.7863,0.6527,Estimated
text_014,DeepLIFT_Text,0.7336,70.32,0.7641,0.6064,Estimated
text_014,Occlusion_Text,0.6912,86.53,0.6338,0.6296,Estimated
text_014,Shapley_Sampling_Text,0.872,73.34,0.769,0.6655,Estimated
text_014,Rationale_Extraction,0.7991,84.74,0.6797,0.7941,Estimated
text_015,LIME_Text,0.7849,92.06,0.7132,0.5209,Estimated
text_015,SHAP_Text,0.7902,75.37,0.7874,0.7615,Estimated
text_015,Integrated_Gradients_Text,0.8441,74.0,0.857,0.6541,Estimated
text_015,Attention_Weights,0.7644,93.06,0.6711,0.7098,Estimated
text_015,Gradient_Text,0.6076,76.27,0.6886,0.4643,Estimated
text_015,InputXGradient_Text,0.7439,77.33,0.7863,0.6527,Estimated
text_015,DeepLIFT_Text,0.7336,70.32,0.7641,0.6064,Estimated
text_015,Occlusion_Text,0.6912,86.53,0.6338,0.6296,Estimated
text_015,Shapley_Sampling_Text,0.872,73.34,0.769,0.6655,Estimated
text_015,Rationale_Extraction,0.7991,84.74,0.6797,0.7941,Estimated
text_016,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_016,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_016,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_016,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_016,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_016,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_016,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_016,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_016,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_016,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
text_017,LIME_Text,0.7574,88.19,0.7073,0.5553,Estimated
text_017,SHAP_Text,0.7922,67.26,0.8028,0.7517,Estimated
text_017,Integrated_Gradients_Text,0.9228,65.28,0.8395,0.7558,Estimated
text_017,Attention_Weights,0.7007,89.69,0.6381,0.5678,Estimated
text_017,Gradient_Text,0.6647,74.66,0.5993,0.5454,Estimated
text_017,InputXGradient_Text,0.7405,73.5,0.7448,0.68,Estimated
text_017,DeepLIFT_Text,0.7681,66.87,0.8349,0.5631,Estimated
text_017,Occlusion_Text,0.6589,81.48,0.7046,0.6666,Estimated
text_017,Shapley_Sampling_Text,0.8055,60.69,0.7371,0.6259,Estimated
text_017,Rationale_Extraction,0.8431,93.14,0.7556,0.7354,Estimated
